代码,名称,最新价,涨跌幅%,换手率%,主力流向,主力净流入(万),主力净占比%,超大单净流入(万),超大单净占比%,大单净流入(万),大单净占比%,中单净流入(万),中单净占比%,小单净流入(万),小单净占比%,资金流时间,抓取时间
000506,招金黄金,12.17,-2.64,3.92,流入,3019.05,6.82,1115.32,2.52,1903.72,4.3,397.92,0.9,-3416.97,-7.72,2026-06-26T15:03:57+08:00,2026-06-26T15:04:15+08:00
000507,珠海港,4.91,-0.61,1.47,流出,-26.22,-0.4,229.4,3.48,-255.61,-3.88,289.37,4.39,-263.15,-3.99,2026-06-26T15:04:03+08:00,2026-06-26T15:04:15+08:00
000509,华塑控股,3.69,-2.12,3.84,流入,714.84,4.66,-725.88,-4.73,1440.72,9.39,-28.68,-0.19,-686.16,-4.47,2026-06-26T15:03:57+08:00,2026-06-26T15:04:15+08:00
000510,新金路,25.33,-2.58,8.23,流出,-157.61,-0.13,-2259.29,-1.8,2101.68,1.68,7299.18,5.82,-7141.57,-5.69,2026-06-26T15:04:00+08:00,2026-06-26T15:04:15+08:00
000513,丽珠集团,28.43,-3.5,0.76,流出,-906.66,-7.27,-751.72,-6.02,-154.94,-1.24,195.99,1.57,710.67,5.69,2026-06-26T15:03:42+08:00,2026-06-26T15:04:15+08:00
000514,渝 开 发,3.68,-2.39,0.94,流出,-36.2,-1.22,0.0,0.0,-36.2,-1.22,-148.41,-5.02,184.6,6.24,2026-06-26T15:03:45+08:00,2026-06-26T15:04:15+08:00
000516,国际医学,3.87,-1.78,0.75,流出,-194.96,-3.04,239.9,3.74,-434.86,-6.78,-347.54,-5.42,542.5,8.46,2026-06-26T15:04:03+08:00,2026-06-26T15:04:15+08:00
000517,荣安地产,1.68,-1.75,1.14,流入,346.37,7.17,-87.61,-1.81,433.98,8.98,337.39,6.98,-683.75,-14.16,2026-06-26T15:04:00+08:00,2026-06-26T15:04:15+08:00
000518,四环生物,3.12,-4.88,3.65,流出,-599.12,-5.08,-488.25,-4.14,-110.87,-0.94,-398.67,-3.38,997.78,8.46,2026-06-26T15:04:06+08:00,2026-06-26T15:04:15+08:00
000519,中兵红箭,20.38,-5.82,7.07,流出,-13188.35,-6.48,-5093.11,-2.5,-8095.24,-3.98,485.63,0.24,12702.72,6.24,2026-06-26T15:03:48+08:00,2026-06-26T15:04:15+08:00
000520,凤凰航运,3.81,-1.3,3.19,流出,-36.92,-0.3,-498.7,-4.08,461.78,3.78,367.05,3.01,-330.13,-2.7,2026-06-26T15:04:03+08:00,2026-06-26T15:04:15+08:00
000521,长虹美菱,4.99,-1.38,0.66,流出,-240.64,-8.31,100.2,3.46,-340.84,-11.77,-66.33,-2.29,306.97,10.6,2026-06-26T15:03:51+08:00,2026-06-26T15:04:15+08:00
000523,红棉股份,2.57,-2.65,1.69,流出,-235.52,-4.08,71.42,1.24,-306.94,-5.31,-370.04,-6.4,605.56,10.48,2026-06-26T15:04:06+08:00,2026-06-26T15:04:15+08:00
000524,岭南控股,,,0.0,,,,,,,,,,,,2026-06-26T15:03:45+08:00,2026-06-26T15:04:15+08:00
000525,红太阳,3.93,-2.48,1.62,流出,-1063.65,-14.87,-286.63,-4.01,-777.03,-10.86,-229.59,-3.21,1293.25,18.08,2026-06-26T15:03:48+08:00,2026-06-26T15:04:15+08:00
000526,学大教育,24.6,-3.15,2.31,流出,-734.49,-10.69,-495.33,-7.21,-239.16,-3.48,-545.32,-7.94,1279.81,18.63,2026-06-26T15:04:06+08:00,2026-06-26T15:04:15+08:00
